SNo,County or equivalent,State or district
1060,Letcher County,Kentucky
1061,Lewis County,Kentucky
1062,Lincoln County,Kentucky
1063,Livingston County,Kentucky
1064,Logan County,Kentucky
1065,Lyon County,Kentucky
1066,McCracken County,Kentucky
1067,McCreary County,Kentucky
1068,McLean County,Kentucky
1069,Madison County,Kentucky
1070,Magoffin County,Kentucky
1071,Marion County,Kentucky
1072,Marshall County,Kentucky
1073,Martin County,Kentucky
1074,Mason County,Kentucky
1075,Meade County,Kentucky
1076,Menifee County,Kentucky
1077,Mercer County,Kentucky
1078,Metcalfe County,Kentucky
1079,Monroe County,Kentucky
1080,Montgomery County,Kentucky
1081,Morgan County,Kentucky
1082,Muhlenberg County,Kentucky
1083,Nelson County,Kentucky
1084,Nicholas County,Kentucky
1085,Ohio County,Kentucky
1086,Oldham County,Kentucky
1087,Owen County,Kentucky
1088,Owsley County,Kentucky
1089,Pendleton County,Kentucky
1090,Perry County,Kentucky
1091,Pike County,Kentucky
1092,Powell County,Kentucky
1093,Pulaski County,Kentucky
1094,Robertson County,Kentucky
1095,Rockcastle County,Kentucky
1096,Rowan County,Kentucky
1097,Russell County,Kentucky
1098,Scott County,Kentucky
1099,Shelby County,Kentucky
1100,Simpson County,Kentucky
1101,Spencer County,Kentucky
1102,Taylor County,Kentucky
1103,Todd County,Kentucky
1104,Trigg County,Kentucky
1105,Trimble County,Kentucky
1106,Union County,Kentucky
1107,Warren County,Kentucky
1108,Washington County,Kentucky
1109,Wayne County,Kentucky
1110,Webster County,Kentucky
1111,Whitley County,Kentucky
1112,Wolfe County,Kentucky
1113,Woodford County,Kentucky
1114,Acadia Parish,Louisiana
1115,Allen Parish,Louisiana
1116,Ascension Parish,Louisiana
1117,Assumption Parish,Louisiana
1118,Avoyelles Parish,Louisiana
1119,Beauregard Parish,Louisiana
1120,Bienville Parish,Louisiana
1121,Bossier Parish,Louisiana
1122,Caddo Parish,Louisiana
1123,Calcasieu Parish,Louisiana
1124,Caldwell Parish,Louisiana
1125,Cameron Parish,Louisiana
1126,Catahoula Parish,Louisiana
1127,Claiborne Parish,Louisiana
1128,Concordia Parish,Louisiana
1129,De Soto Parish,Louisiana
1130,East Baton Rouge Parish,Louisiana
1131,East Carroll Parish,Louisiana
1132,East Feliciana Parish,Louisiana
1133,Evangeline Parish,Louisiana
1134,Franklin Parish,Louisiana
1135,Grant Parish,Louisiana
1136,Iberia Parish,Louisiana
1137,Iberville Parish,Louisiana
1138,Jackson Parish,Louisiana
1139,Jefferson Parish,Louisiana
1140,Jefferson Davis Parish,Louisiana
1141,Lafayette Parish,Louisiana
1142,Lafourche Parish,Louisiana
1143,LaSalle Parish,Louisiana
1144,Lincoln Parish,Louisiana
1145,Livingston Parish,Louisiana
1146,Madison Parish,Louisiana
1147,Morehouse Parish,Louisiana
1148,Natchitoches Parish,Louisiana
1149,Orleans Parish,Louisiana
1150,Ouachita Parish,Louisiana
1151,Plaquemines Parish,Louisiana
1152,Pointe Coupee Parish,Louisiana
1153,Rapides Parish,Louisiana
1154,Red River Parish,Louisiana
1155,Richland Parish,Louisiana
1156,Sabine Parish,Louisiana
1157,St. Bernard Parish,Louisiana
1158,St. Charles Parish,Louisiana
1159,St. Helena Parish,Louisiana
1160,St. James Parish,Louisiana
1161,St. John the Baptist Parish,Louisiana
1162,St. Landry Parish,Louisiana
1163,St. Martin Parish,Louisiana
1164,St. Mary Parish,Louisiana
1165,St. Tammany Parish,Louisiana
1166,Tangipahoa Parish,Louisiana
1167,Tensas Parish,Louisiana
1168,Terrebonne Parish,Louisiana
1169,Union Parish,Louisiana
1170,Vermilion Parish,Louisiana
1171,Vernon Parish,Louisiana
1172,Washington Parish,Louisiana
1173,Webster Parish,Louisiana
1174,West Baton Rouge Parish,Louisiana
1175,West Carroll Parish,Louisiana
1176,West Feliciana Parish,Louisiana
1177,Winn Parish,Louisiana
1178,Androscoggin County,Maine
1179,Aroostook County,Maine
1180,Cumberland County,Maine
1181,Franklin County,Maine
1182,Hancock County,Maine
1183,Kennebec County,Maine
1184,Knox County,Maine
1185,Lincoln County,Maine
1186,Oxford County,Maine
1187,Penobscot County,Maine
1188,Piscataquis County,Maine
1189,Sagadahoc County,Maine
1190,Somerset County,Maine
1191,Waldo County,Maine
1192,Washington County,Maine
1193,York County,Maine
1194,Allegany County,Maryland
1195,Anne Arundel County,Maryland
1196,Baltimore County,Maryland
1197,Calvert County,Maryland
1198,Caroline County,Maryland
1199,Carroll County,Maryland
1200,Cecil County,Maryland
1201,Charles County,Maryland
1202,Dorchester County,Maryland
1203,Frederick County,Maryland
1204,Garrett County,Maryland
1205,Harford County,Maryland
1206,Howard County,Maryland
1207,Kent County,Maryland
1208,Montgomery County,Maryland
1209,Prince George's County,Maryland
1210,Queen Anne's County,Maryland
1211,St. Mary's County,Maryland
1212,Somerset County,Maryland
1213,Talbot County,Maryland
1214,Washington County,Maryland
1215,Wicomico County,Maryland
1216,Worcester County,Maryland
1217,"Baltimore, City of",Maryland
1218,Barnstable County,Massachusetts
1219,Berkshire County,Massachusetts
1220,Bristol County,Massachusetts
1221,Dukes County,Massachusetts
1222,Essex County,Massachusetts
1223,Franklin County,Massachusetts
1224,Hampden County,Massachusetts
1225,Hampshire County,Massachusetts
1226,Middlesex County,Massachusetts
1227,"Nantucket, Town and County of",Massachusetts
1228,Norfolk County,Massachusetts
1229,Plymouth County,Massachusetts
1230,Suffolk County,Massachusetts
1231,Worcester County,Massachusetts
1232,Alcona County,Michigan
1233,Alger County,Michigan
1234,Allegan County,Michigan
1235,Alpena County,Michigan
1236,Antrim County,Michigan
1237,Arenac County,Michigan
1238,Baraga County,Michigan
1239,Barry County,Michigan
1240,Bay County,Michigan
1241,Benzie County,Michigan
1242,Berrien County,Michigan
1243,Branch County,Michigan
1244,Calhoun County,Michigan
1245,Cass County,Michigan
1246,Charlevoix County,Michigan
1247,Cheboygan County,Michigan
1248,Chippewa County,Michigan
1249,Clare County,Michigan
1250,Clinton County,Michigan
1251,Crawford County,Michigan
1252,Delta County,Michigan
1253,Dickinson County,Michigan
1254,Eaton County,Michigan
1255,Emmet County,Michigan
1256,Genesee County,Michigan
1257,Gladwin County,Michigan
1258,Gogebic County,Michigan
1259,Grand Traverse County,Michigan
1260,Gratiot County,Michigan
1261,Hillsdale County,Michigan
1262,Houghton County,Michigan
1263,Huron County,Michigan
1264,Ingham County,Michigan
1265,Ionia County,Michigan
1266,Iosco County,Michigan
1267,Iron County,Michigan
1268,Isabella County,Michigan
1269,Jackson County,Michigan
1270,Kalamazoo County,Michigan
1271,Kalkaska County,Michigan
1272,Kent County,Michigan
1273,Keweenaw County,Michigan
1274,Lake County,Michigan
1275,Lapeer County,Michigan
1276,Leelanau County,Michigan
1277,Lenawee County,Michigan
1278,Livingston County,Michigan
1279,Luce County,Michigan
1280,Mackinac County,Michigan
1281,Macomb County,Michigan
1282,Manistee County,Michigan
1283,Marquette County,Michigan
1284,Mason County,Michigan
1285,Mecosta County,Michigan
1286,Menominee County,Michigan
1287,Midland County,Michigan
1288,Missaukee County,Michigan
1289,Monroe County,Michigan
1290,Montcalm County,Michigan
1291,Montmorency County,Michigan
1292,Muskegon County,Michigan
1293,Newaygo County,Michigan
1294,Oakland County,Michigan
1295,Oceana County,Michigan
1296,Ogemaw County,Michigan
1297,Ontonagon County,Michigan
1298,Osceola County,Michigan
1299,Oscoda County,Michigan
1300,Otsego County,Michigan
1301,Ottawa County,Michigan
1302,Presque Isle County,Michigan
1303,Roscommon County,Michigan
1304,Saginaw County,Michigan
1305,St. Clair County,Michigan
1306,St. Joseph County,Michigan
1307,Sanilac County,Michigan
1308,Schoolcraft County,Michigan
1309,Shiawassee County,Michigan
1310,Tuscola County,Michigan
1311,Van Buren County,Michigan
1312,Washtenaw County,Michigan
1313,Wayne County,Michigan
1314,Wexford County,Michigan
1315,Aitkin County,Minnesota
1316,Anoka County,Minnesota
1317,Becker County,Minnesota
1318,Beltrami County,Minnesota
1319,Benton County,Minnesota
1320,Big Stone County,Minnesota
1321,Blue Earth County,Minnesota
1322,Brown County,Minnesota
1323,Carlton County,Minnesota
1324,Carver County,Minnesota
1325,Cass County,Minnesota
1326,Chippewa County,Minnesota
1327,Chisago County,Minnesota
1328,Clay County,Minnesota
1329,Clearwater County,Minnesota
1330,Cook County,Minnesota
1331,Cottonwood County,Minnesota
1332,Crow Wing County,Minnesota
1333,Dakota County,Minnesota
1334,Dodge County,Minnesota
1335,Douglas County,Minnesota
1336,Faribault County,Minnesota
1337,Fillmore County,Minnesota
1338,Freeborn County,Minnesota
1339,Goodhue County,Minnesota
1340,Grant County,Minnesota
1341,Hennepin County,Minnesota
1342,Houston County,Minnesota
1343,Hubbard County,Minnesota
1344,Isanti County,Minnesota
1345,Itasca County,Minnesota
1346,Jackson County,Minnesota
1347,Kanabec County,Minnesota
1348,Kandiyohi County,Minnesota
1349,Kittson County,Minnesota
1350,Koochiching County,Minnesota
1351,Lac qui Parle County,Minnesota
1352,Lake County,Minnesota
1353,Lake of the Woods County,Minnesota
1354,Le Sueur County,Minnesota
1355,Lincoln County,Minnesota
1356,Lyon County,Minnesota
1357,McLeod County,Minnesota
1358,Mahnomen County,Minnesota
1359,Marshall County,Minnesota
1360,Martin County,Minnesota
1361,Meeker County,Minnesota
1362,Mille Lacs County,Minnesota
1363,Morrison County,Minnesota
1364,Mower County,Minnesota
1365,Murray County,Minnesota
1366,Nicollet County,Minnesota
1367,Nobles County,Minnesota
1368,Norman County,Minnesota
1369,Olmsted County,Minnesota
1370,Otter Tail County,Minnesota
1371,Pennington County,Minnesota
1372,Pine County,Minnesota
1373,Pipestone County,Minnesota
1374,Polk County,Minnesota
1375,Pope County,Minnesota
1376,Ramsey County,Minnesota
1377,Red Lake County,Minnesota
1378,Redwood County,Minnesota
1379,Renville County,Minnesota
1380,Rice County,Minnesota
1381,Rock County,Minnesota
1382,Roseau County,Minnesota
1383,St. Louis County,Minnesota
1384,Scott County,Minnesota
1385,Sherburne County,Minnesota
1386,Sibley County,Minnesota
1387,Stearns County,Minnesota
1388,Steele County,Minnesota
1389,Stevens County,Minnesota
1390,Swift County,Minnesota
1391,Todd County,Minnesota
1392,Traverse County,Minnesota
1393,Wabasha County,Minnesota
1394,Wadena County,Minnesota
1395,Waseca County,Minnesota
1396,Washington County,Minnesota
1397,Watonwan County,Minnesota
1398,Wilkin County,Minnesota
1399,Winona County,Minnesota
1400,Wright County,Minnesota
1401,Yellow Medicine County,Minnesota
1402,Adams County,Mississippi
1403,Alcorn County,Mississippi
1404,Amite County,Mississippi
1405,Attala County,Mississippi
1406,Benton County,Mississippi
1407,Bolivar County,Mississippi
1408,Calhoun County,Mississippi
1409,Carroll County,Mississippi
1410,Chickasaw County,Mississippi
1411,Choctaw County,Mississippi
1412,Claiborne County,Mississippi
1413,Clarke County,Mississippi
1414,Clay County,Mississippi
1415,Coahoma County,Mississippi
1416,Copiah County,Mississippi
1417,Covington County,Mississippi
1418,DeSoto County,Mississippi
1419,Forrest County,Mississippi
1420,Franklin County,Mississippi
1421,George County,Mississippi
1422,Greene County,Mississippi
1423,Grenada County,Mississippi
1424,Hancock County,Mississippi
1425,Harrison County,Mississippi
1426,Hinds County,Mississippi
1427,Holmes County,Mississippi
1428,Humphreys County,Mississippi
1429,Issaquena County,Mississippi
1430,Itawamba County,Mississippi
1431,Jackson County,Mississippi
1432,Jasper County,Mississippi
1433,Jefferson County,Mississippi
1434,Jefferson Davis County,Mississippi
1435,Jones County,Mississippi
1436,Kemper County,Mississippi
1437,Lafayette County,Mississippi
1438,Lamar County,Mississippi
1439,Lauderdale County,Mississippi
1440,Lawrence County,Mississippi
1441,Leake County,Mississippi
1442,Lee County,Mississippi
1443,Leflore County,Mississippi
1444,Lincoln County,Mississippi
1445,Lowndes County,Mississippi
1446,Madison County,Mississippi
1447,Marion County,Mississippi
1448,Marshall County,Mississippi
1449,Monroe County,Mississippi
1450,Montgomery County,Mississippi
1451,Neshoba County,Mississippi
1452,Newton County,Mississippi
1453,Noxubee County,Mississippi
1454,Oktibbeha County,Mississippi
1455,Panola County,Mississippi
1456,Pearl River County,Mississippi
1457,Perry County,Mississippi
1458,Pike County,Mississippi
1459,Pontotoc County,Mississippi
1460,Prentiss County,Mississippi
1461,Quitman County,Mississippi
1462,Rankin County,Mississippi
1463,Scott County,Mississippi
1464,Sharkey County,Mississippi
1465,Simpson County,Mississippi
1466,Smith County,Mississippi
1467,Stone County,Mississippi
1468,Sunflower County,Mississippi
1469,Tallahatchie County,Mississippi
1470,Tate County,Mississippi
1471,Tippah County,Mississippi
1472,Tishomingo County,Mississippi
1473,Tunica County,Mississippi
1474,Union County,Mississippi
1475,Walthall County,Mississippi
1476,Warren County,Mississippi
1477,Washington County,Mississippi
1478,Wayne County,Mississippi
1479,Webster County,Mississippi
1480,Wilkinson County,Mississippi
1481,Winston County,Mississippi
1482,Yalobusha County,Mississippi
1483,Yazoo County,Mississippi
1484,Adair County,Missouri
1485,Andrew County,Missouri
1486,Atchison County,Missouri
1487,Audrain County,Missouri
1488,Barry County,Missouri
1489,Barton County,Missouri
1490,Bates County,Missouri
1491,Benton County,Missouri
1492,Bollinger County,Missouri
1493,Boone County,Missouri
1494,Buchanan County,Missouri
1495,Butler County,Missouri
1496,Caldwell County,Missouri
1497,Callaway County,Missouri
1498,Camden County,Missouri
1499,Cape Girardeau County,Missouri
1500,Carroll County,Missouri
1501,Carter County,Missouri
1502,Cass County,Missouri
1503,Cedar County,Missouri
1504,Chariton County,Missouri
1505,Christian County,Missouri
1506,Clark County,Missouri
1507,Clay County,Missouri
1508,Clinton County,Missouri
1509,Cole County,Missouri
1510,Cooper County,Missouri
1511,Crawford County,Missouri
1512,Dade County,Missouri
1513,Dallas County,Missouri
1514,Daviess County,Missouri
1515,DeKalb County,Missouri
1516,Dent County,Missouri
1517,Douglas County,Missouri
1518,Dunklin County,Missouri
1519,Franklin County,Missouri
1520,Gasconade County,Missouri
1521,Gentry County,Missouri
1522,Greene County,Missouri
1523,Grundy County,Missouri
1524,Harrison County,Missouri
1525,Henry County,Missouri
1526,Hickory County,Missouri
1527,Holt County,Missouri
1528,Howard County,Missouri
1529,Howell County,Missouri
1530,Iron County,Missouri
1531,Jackson County,Missouri
1532,Jasper County,Missouri
1533,Jefferson County,Missouri
1534,Johnson County,Missouri
1535,Knox County,Missouri
1536,Laclede County,Missouri
1537,Lafayette County,Missouri
1538,Lawrence County,Missouri
1539,Lewis County,Missouri
1540,Lincoln County,Missouri
1541,Linn County,Missouri
1542,Livingston County,Missouri
1543,McDonald County,Missouri
1544,Macon County,Missouri
1545,Madison County,Missouri
1546,Maries County,Missouri
1547,Marion County,Missouri
1548,Mercer County,Missouri
1549,Miller County,Missouri
1550,Mississippi County,Missouri
1551,Moniteau County,Missouri
1552,Monroe County,Missouri
1553,Montgomery County,Missouri
1554,Morgan County,Missouri
1555,New Madrid County,Missouri
1556,Newton County,Missouri
1557,Nodaway County,Missouri
1558,Oregon County,Missouri
1559,Osage County,Missouri
1560,Ozark County,Missouri
1561,Pemiscot County,Missouri
1562,Perry County,Missouri
1563,Pettis County,Missouri
1564,Phelps County,Missouri
1565,Pike County,Missouri
1566,Platte County,Missouri
1567,Polk County,Missouri
1568,Pulaski County,Missouri
1569,Putnam County,Missouri
1570,Ralls County,Missouri
1571,Randolph County,Missouri
1572,Ray County,Missouri
1573,Reynolds County,Missouri
1574,Ripley County,Missouri
1575,St. Charles County,Missouri
1576,St. Clair County,Missouri
1577,Ste. Genevieve County,Missouri
1578,St. Francois County,Missouri
1579,St. Louis County,Missouri
1580,Saline County,Missouri
1581,Schuyler County,Missouri
1582,Scotland County,Missouri
1583,Scott County,Missouri
1584,Shannon County,Missouri
1585,Shelby County,Missouri
1586,Stoddard County,Missouri
1587,Stone County,Missouri
1588,Sullivan County,Missouri
1589,Taney County,Missouri
1590,Texas County,Missouri
1591,Vernon County,Missouri
1592,Warren County,Missouri
1593,Washington County,Missouri
1594,Wayne County,Missouri
1595,Webster County,Missouri
1596,Worth County,Missouri
1597,Wright County,Missouri
1598,"St. Louis, City of",Missouri
1599,Beaverhead County,Montana
1600,Big Horn County,Montana
1601,Blaine County,Montana
1602,Broadwater County,Montana
1603,Carbon County,Montana
1604,Carter County,Montana
1605,Cascade County,Montana
1606,Chouteau County,Montana
1607,Custer County,Montana
1608,Daniels County,Montana
1609,Dawson County,Montana
1610,Deer Lodge County,Montana
1611,Fallon County,Montana
1612,Fergus County,Montana
1613,Flathead County,Montana
1614,Gallatin County,Montana
1615,Garfield County,Montana
1616,Glacier County,Montana
1617,Golden Valley County,Montana
1618,Granite County,Montana
1619,Hill County,Montana
1620,Jefferson County,Montana
1621,Judith Basin County,Montana
1622,Lake County,Montana
1623,Lewis and Clark County,Montana
1624,Liberty County,Montana
1625,Lincoln County,Montana
1626,McCone County,Montana
1627,Madison County,Montana
1628,Meagher County,Montana
1629,Mineral County,Montana
1630,Missoula County,Montana
1631,Musselshell County,Montana
1632,Park County,Montana
1633,Petroleum County,Montana
1634,Phillips County,Montana
1635,Pondera County,Montana
1636,Powder River County,Montana
1637,Powell County,Montana
1638,Prairie County,Montana
1639,Ravalli County,Montana
1640,Richland County,Montana
1641,Roosevelt County,Montana
1642,Rosebud County,Montana
1643,Sanders County,Montana
1644,Sheridan County,Montana
1645,Silver Bow County,Montana
1646,Stillwater County,Montana
1647,Sweet Grass County,Montana
1648,Teton County,Montana
1649,Toole County,Montana
1650,Treasure County,Montana
1651,Valley County,Montana
1652,Wheatland County,Montana
1653,Wibaux County,Montana
1654,Yellowstone County,Montana
1655,Adams County,Nebraska
1656,Antelope County,Nebraska
1657,Arthur County,Nebraska
1658,Banner County,Nebraska
1659,Blaine County,Nebraska
1660,Boone County,Nebraska
1661,Box Butte County,Nebraska
1662,Boyd County,Nebraska
1663,Brown County,Nebraska
1664,Buffalo County,Nebraska
1665,Burt County,Nebraska
1666,Butler County,Nebraska
1667,Cass County,Nebraska
1668,Cedar County,Nebraska
1669,Chase County,Nebraska
1670,Cherry County,Nebraska
1671,Cheyenne County,Nebraska
1672,Clay County,Nebraska
1673,Colfax County,Nebraska
1674,Cuming County,Nebraska
1675,Custer County,Nebraska
1676,Dakota County,Nebraska
1677,Dawes County,Nebraska
1678,Dawson County,Nebraska
1679,Deuel County,Nebraska
1680,Dixon County,Nebraska
1681,Dodge County,Nebraska
1682,Douglas County,Nebraska
1683,Dundy County,Nebraska
1684,Fillmore County,Nebraska
1685,Franklin County,Nebraska
1686,Frontier County,Nebraska
1687,Furnas County,Nebraska
1688,Gage County,Nebraska
1689,Garden County,Nebraska
1690,Garfield County,Nebraska
1691,Gosper County,Nebraska
1692,Grant County,Nebraska
1693,Greeley County,Nebraska
1694,Hall County,Nebraska
1695,Hamilton County,Nebraska
1696,Harlan County,Nebraska
1697,Hayes County,Nebraska
1698,Hitchcock County,Nebraska
1699,Holt County,Nebraska
1700,Hooker County,Nebraska
1701,Howard County,Nebraska
1702,Jefferson County,Nebraska
1703,Johnson County,Nebraska
1704,Kearney County,Nebraska
1705,Keith County,Nebraska
1706,Keya Paha County,Nebraska
1707,Kimball County,Nebraska
1708,Knox County,Nebraska
1709,Lancaster County,Nebraska
1710,Lincoln County,Nebraska
1711,Logan County,Nebraska
1712,Loup County,Nebraska
1713,McPherson County,Nebraska
1714,Madison County,Nebraska
1715,Merrick County,Nebraska
1716,Morrill County,Nebraska
1717,Nance County,Nebraska
1718,Nemaha County,Nebraska
1719,Nuckolls County,Nebraska
1720,Otoe County,Nebraska
1721,Pawnee County,Nebraska
1722,Perkins County,Nebraska
1723,Phelps County,Nebraska
1724,Pierce County,Nebraska
1725,Platte County,Nebraska
1726,Polk County,Nebraska
1727,Red Willow County,Nebraska
1728,Richardson County,Nebraska
1729,Rock County,Nebraska
1730,Saline County,Nebraska
1731,Sarpy County,Nebraska
1732,Saunders County,Nebraska
1733,Scotts Bluff County,Nebraska
1734,Seward County,Nebraska
1735,Sheridan County,Nebraska
1736,Sherman County,Nebraska
1737,Sioux County,Nebraska
1738,Stanton County,Nebraska
1739,Thayer County,Nebraska
1740,Thomas County,Nebraska
1741,Thurston County,Nebraska
1742,Valley County,Nebraska
1743,Washington County,Nebraska
1744,Wayne County,Nebraska
1745,Webster County,Nebraska
1746,Wheeler County,Nebraska
1747,York County,Nebraska
1748,Churchill County,Nevada
1749,Clark County,Nevada
1750,Douglas County,Nevada
1751,Elko County,Nevada
1752,Esmeralda County,Nevada
1753,Eureka County,Nevada
1754,Humboldt County,Nevada
1755,Lander County,Nevada
1756,Lincoln County,Nevada
1757,Lyon County,Nevada
1758,Mineral County,Nevada
1759,Nye County,Nevada
1760,Pershing County,Nevada
1761,Storey County,Nevada
1762,Washoe County,Nevada
1763,White Pine County,Nevada
1764,"Carson City, Consolidated Municipality of",Nevada
1765,Belknap County,New Hampshire
1766,Carroll County,New Hampshire
1767,Cheshire County,New Hampshire
1768,Coos County,New Hampshire
1769,Grafton County,New Hampshire
1770,Hillsborough County,New Hampshire
1771,Merrimack County,New Hampshire
1772,Rockingham County,New Hampshire
1773,Strafford County,New Hampshire
1774,Sullivan County,New Hampshire
1775,Atlantic County,New Jersey
1776,Bergen County,New Jersey
1777,Burlington County,New Jersey
1778,Camden County,New Jersey
1779,Cape May County,New Jersey
1780,Cumberland County,New Jersey
1781,Essex County,New Jersey
1782,Gloucester County,New Jersey
1783,Hudson County,New Jersey
1784,Hunterdon County,New Jersey
1785,Mercer County,New Jersey
1786,Middlesex County,New Jersey
1787,Monmouth County,New Jersey
1788,Morris County,New Jersey
1789,Ocean County,New Jersey
1790,Passaic County,New Jersey
1791,Salem County,New Jersey
1792,Somerset County,New Jersey
1793,Sussex County,New Jersey
1794,Union County,New Jersey
1795,Warren County,New Jersey
1796,Bernalillo County,New Mexico
1797,Catron County,New Mexico
1798,Chaves County,New Mexico
1799,Cibola County,New Mexico
1800,Colfax County,New Mexico
1801,Curry County,New Mexico
1802,De Baca County,New Mexico
1803,Doña Ana County,New Mexico
1804,Eddy County,New Mexico
1805,Grant County,New Mexico
1806,Guadalupe County,New Mexico
1807,Harding County,New Mexico
1808,Hidalgo County,New Mexico
1809,Lea County,New Mexico
1810,Lincoln County,New Mexico
1811,Los Alamos County,New Mexico
1812,Luna County,New Mexico
1813,McKinley County,New Mexico
1814,Mora County,New Mexico
1815,Otero County,New Mexico
1816,Quay County,New Mexico
1817,Rio Arriba County,New Mexico
1818,Roosevelt County,New Mexico
1819,Sandoval County,New Mexico
1820,San Juan County,New Mexico
1821,San Miguel County,New Mexico
1822,Santa Fe County,New Mexico
1823,Sierra County,New Mexico
1824,Socorro County,New Mexico
1825,Taos County,New Mexico
1826,Torrance County,New Mexico
1827,Union County,New Mexico
1828,Valencia County,New Mexico
1829,Albany County,New York
1830,Allegany County,New York
1831,Bronx County,New York
1832,Broome County,New York
1833,Cattaraugus County,New York
1834,Cayuga County,New York
1835,Chautauqua County,New York
1836,Chemung County,New York
1837,Chenango County,New York
1838,Clinton County,New York
1839,Columbia County,New York
1840,Cortland County,New York
1841,Delaware County,New York
1842,Dutchess County,New York
1843,Erie County,New York
1844,Essex County,New York
1845,Franklin County,New York
1846,Fulton County,New York
1847,Genesee County,New York
1848,Greene County,New York
1849,Hamilton County,New York
1850,Herkimer County,New York
1851,Jefferson County,New York
1852,Kings County,New York
1853,Lewis County,New York
1854,Livingston County,New York
1855,Madison County,New York
1856,Monroe County,New York
1857,Montgomery County,New York
1858,Nassau County,New York
1859,New York County,New York
1860,Niagara County,New York
1861,Oneida County,New York
1862,Onondaga County,New York
1863,Ontario County,New York
1864,Orange County,New York
1865,Orleans County,New York
1866,Oswego County,New York
1867,Otsego County,New York
1868,Putnam County,New York
1869,Queens County,New York
1870,Rensselaer County,New York
1871,Richmond County,New York
1872,Rockland County,New York
1873,St. Lawrence County,New York
1874,Saratoga County,New York
1875,Schenectady County,New York
1876,Schoharie County,New York
1877,Schuyler County,New York
1878,Seneca County,New York
1879,Steuben County,New York
1880,Suffolk County,New York
1881,Sullivan County,New York
1882,Tioga County,New York
1883,Tompkins County,New York
1884,Ulster County,New York
1885,Warren County,New York
1886,Washington County,New York
1887,Wayne County,New York
1888,Westchester County,New York
1889,Wyoming County,New York
1890,Yates County,New York
1891,Alamance County,North Carolina
1892,Alexander County,North Carolina
1893,Alleghany County,North Carolina
1894,Anson County,North Carolina
1895,Ashe County,North Carolina
1896,Avery County,North Carolina
1897,Beaufort County,North Carolina
1898,Bertie County,North Carolina
1899,Bladen County,North Carolina
1900,Brunswick County,North Carolina
1901,Buncombe County,North Carolina
1902,Burke County,North Carolina
1903,Cabarrus County,North Carolina
1904,Caldwell County,North Carolina
1905,Camden County,North Carolina
1906,Carteret County,North Carolina
1907,Caswell County,North Carolina
1908,Catawba County,North Carolina
1909,Chatham County,North Carolina
1910,Cherokee County,North Carolina
1911,Chowan County,North Carolina
1912,Clay County,North Carolina
1913,Cleveland County,North Carolina
1914,Columbus County,North Carolina
1915,Craven County,North Carolina
1916,Cumberland County,North Carolina
1917,Currituck County,North Carolina
1918,Dare County,North Carolina
1919,Davidson County,North Carolina
1920,Davie County,North Carolina
1921,Duplin County,North Carolina
1922,Durham County,North Carolina
1923,Edgecombe County,North Carolina
1924,Forsyth County,North Carolina
1925,Franklin County,North Carolina
1926,Gaston County,North Carolina
1927,Gates County,North Carolina
1928,Graham County,North Carolina
1929,Granville County,North Carolina
1930,Greene County,North Carolina
1931,Guilford County,North Carolina
1932,Halifax County,North Carolina
1933,Harnett County,North Carolina
1934,Haywood County,North Carolina
1935,Henderson County,North Carolina
1936,Hertford County,North Carolina
1937,Hoke County,North Carolina
1938,Hyde County,North Carolina
1939,Iredell County,North Carolina
1940,Jackson County,North Carolina
1941,Johnston County,North Carolina
1942,Jones County,North Carolina
1943,Lee County,North Carolina
1944,Lenoir County,North Carolina
1945,Lincoln County,North Carolina
1946,McDowell County,North Carolina
1947,Macon County,North Carolina
1948,Madison County,North Carolina
1949,Martin County,North Carolina
1950,Mecklenburg County,North Carolina
1951,Mitchell County,North Carolina
1952,Montgomery County,North Carolina
1953,Moore County,North Carolina
1954,Nash County,North Carolina
1955,New Hanover County,North Carolina
1956,Northampton County,North Carolina
1957,Onslow County,North Carolina
1958,Orange County,North Carolina
1959,Pamlico County,North Carolina
1960,Pasquotank County,North Carolina
1961,Pender County,North Carolina
1962,Perquimans County,North Carolina
1963,Person County,North Carolina
1964,Pitt County,North Carolina
1965,Polk County,North Carolina
1966,Randolph County,North Carolina
1967,Richmond County,North Carolina
1968,Robeson County,North Carolina
1969,Rockingham County,North Carolina
1970,Rowan County,North Carolina
1971,Rutherford County,North Carolina
1972,Sampson County,North Carolina
1973,Scotland County,North Carolina
1974,Stanly County,North Carolina
1975,Stokes County,North Carolina
1976,Surry County,North Carolina
1977,Swain County,North Carolina
1978,Transylvania County,North Carolina
1979,Tyrrell County,North Carolina
1980,Union County,North Carolina
1981,Vance County,North Carolina
1982,Wake County,North Carolina
1983,Warren County,North Carolina
1984,Washington County,North Carolina
1985,Watauga County,North Carolina
1986,Wayne County,North Carolina
1987,Wilkes County,North Carolina
1988,Wilson County,North Carolina
1989,Yadkin County,North Carolina
1990,Yancey County,North Carolina
1991,Adams County,North Dakota
1992,Barnes County,North Dakota
1993,Benson County,North Dakota
1994,Billings County,North Dakota
1995,Bottineau County,North Dakota
1996,Bowman County,North Dakota
1997,Burke County,North Dakota
1998,Burleigh County,North Dakota
1999,Cass County,North Dakota
2000,Cavalier County,North Dakota
2001,Dickey County,North Dakota
2002,Divide County,North Dakota
2003,Dunn County,North Dakota
2004,Eddy County,North Dakota
2005,Emmons County,North Dakota
2006,Foster County,North Dakota
